id;type;lat;lon;address;title;sculptor;architect;year;material;condition;heritage_status;description;photo_urls;source_links
22;не указан;55,772476;37,660785;Новорязанская улица;Памятник Ленину (Новорязанская улица);;;;;утрачен;;Фото 1957 года.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.660785,55.772476
23;не указан;55,755223;37,551319;"парк ""Красная Пресня""";"Памятник Ленину (парк ""Красная Пресня"")";С.Д.Меркуров;;;;утрачен;;Снимок 1957-1958 годов.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.551319,55.755223
24;не указан;55,753708;37,619917;Парк ЦДСА;Памятник Ленину (Парк ЦДСА);;;;;утрачен;;Парк Центрального дома Советской армии.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
25;не указан;55,72632;37,605107;"Первая градская
больница";"Памятник Ленину (Первая градская
больница)";;;;;утрачен;;"Ленинский пр-т, 8.
Территория Первой городской клинической больницы.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.605107,55.72632
26;не указан;55,644877;37,35487;"Переделкино (сан.
ВЦСПС)";"Памятник Ленину (Переделкино (сан.
ВЦСПС))";Г.Н.Постников;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.35487,55.644877
27;не указан;55,647193;37,477238;переулок Стопани;Памятник Ленину (переулок Стопани);С.Д.Меркуров;;;;утрачен;;Перед зданием Московского дома пионеров.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.477238,55.647193
28;не указан;55,740433;37,775459;Перовский парк;Памятник Ленину (Перовский парк);С.Д.Меркуров;;;;утрачен;;Фото 1980-ых годов.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.775459,55.740433
29;не указан;55,753708;37,619917;посёлок Волхонка-ЗИЛ;Памятник Ленину (посёлок Волхонка-ЗИЛ);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
30;не указан;52,521298;39,517864;посёлок Ленино;Памятник Ленину (посёлок Ленино);;;;;утрачен;;"У здания Ленинского райсполкома (ныне - усадьба Царицыно,
Первый кавалерский корпус).
Фотография 1983 года.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/39.517864,52.521298
31;не указан;50,68086;36,563395;посёлок Северный;Памятник Ленину (посёлок Северный);П.П.Яцыно;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/36.563395,50.68086
32;не указан;50,68086;36,563395;посёлок Северный;Памятник Ленину (посёлок Северный);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/36.563395,50.68086
33;не указан;55,785962;37,480356;район Щукино;Памятник Ленину (район Щукино);Г.Д.Алексеев;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.480356,55.785962
34;фигура;55,773724;37,620217;Самотёчная площадь;Памятник Ленину (Самотёчная площадь);;;;;утрачен;;"Вероятно, памятник стоял на площади в рамках празднования
какого-то праздника.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.620217,55.773724
35;не указан;55,851033;37,46721;Северный речной вокзал;Памятник Ленину (Северный речной вокзал);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.46721,55.851033
36;не указан;55,728846;37,693702;Скотопрогонная улица;Памятник Ленину (Скотопрогонная улица);;;;;утрачен;;"Улица Скотопрогонная, 29/1.
Территория автобазы №1 Мосстройтранса.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.693702,55.728846
37;фигура;55,753708;37,619917;"совхоз ""Тепличный""";"Памятник Ленину (совхоз ""Тепличный"")";;;;;утрачен;;"Улица Берзарина, 4.
Памятник демонтирован в 2013-2014 гг.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
